Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
9191,slash,Black-backed/Rufous-backed Dwarf-Kingfisher,Ceyx erithaca/rufidorsa,,,,Ceyx,erithaca/rufidorsa,,Piscivore-Insectivore,,,,
9259,species,Brown-winged Kingfisher,Pelargopsis amauroptera,Brown-winged Kingfisher,Near-threatened,,Pelargopsis,amauroptera,,Carnivore-Piscivore,,,,
9260,species,Stork-billed Kingfisher,Pelargopsis capensis,Stork-billed Kingfisher,,,Pelargopsis,capensis,,Carnivore-Piscivore,,,,
9280,species,Ruddy Kingfisher,Halcyon coromanda,Ruddy Kingfisher,,,Halcyon,coromanda,,Carnivore-Piscivore,,,,
9294,species,White-throated Kingfisher,Halcyon smyrnensis,White-throated Kingfisher,,,Halcyon,smyrnensis,,Piscivore-Insectivore,,,,
9307,species,Black-capped Kingfisher,Halcyon pileata,Black-capped Kingfisher,,,Halcyon,pileata,,Carnivore-Piscivore,,,,
9403,species,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,,,Todiramphus,chloris,,Carnivore-Piscivore,,,,
9507,species,Crested Kingfisher,Megaceryle lugubris,Crested Kingfisher,,,Megaceryle,lugubris,,Carnivore-Piscivore,,,,
9518,species,Pied Kingfisher,Ceryle rudis,Pied Kingfisher,,,Ceryle,rudis,,Carnivore-Piscivore,,,,
9535,spuh,kingfisher sp.,Alcedinidae sp.,,,,Alcedinidae,sp.,,Carnivore-Piscivore,,,,
9537,species,Blue-bearded Bee-eater,Nyctyornis athertoni,Blue-bearded Bee-eater,,,Nyctyornis,athertoni,,Canopy-Insectivore,,,,
9572,species,Green Bee-eater,Merops orientalis,Green Bee-eater,,,Merops,orientalis,,Canopy-Insectivore,,,,
9587,species,Blue-cheeked Bee-eater,Merops persicus,Blue-cheeked Bee-eater,,,Merops,persicus,,Canopy-Insectivore,,,,
9593,species,Blue-tailed Bee-eater,Merops philippinus,Blue-tailed Bee-eater,,,Merops,philippinus,,Canopy-Insectivore,,,,
9594,slash,Blue-cheeked/Blue-tailed Bee-eater,Merops persicus/philippinus,,,,Merops,persicus/philippinus,,Canopy-Insectivore,,,,
9596,species,European Bee-eater,Merops apiaster,European Bee-eater,,,Merops,apiaster,,Canopy-Insectivore,,,,
9597,species,Chestnut-headed Bee-eater,Merops leschenaulti,Chestnut-headed Bee-eater,,,Merops,leschenaulti,,Canopy-Insectivore,,,,
9604,spuh,bee-eater sp.,Merops sp.,,,,Merops,sp.,,Canopy-Insectivore,,,,
9605,species,European Roller,Coracias garrulus,European Roller,,,Coracias,garrulus,,Canopy-Insectivore,,,,
9616,species,Indian Roller,Coracias benghalensis,Indian Roller,,,Coracias,benghalensis,,Canopy-Insectivore,,,,
9624,spuh,roller sp.,Coracias sp.,,,,Coracias,sp.,,Canopy-Insectivore,,,,
9634,species,Dollarbird,Eurystomus orientalis,Oriental Dollarbird,,,Eurystomus,orientalis,,Canopy-Insectivore,,,,
9949,species,Malabar Barbet,Psilopogon malabaricus,Malabar Barbet (Crimson-throated Barbet),,X,Psilopogon,malabaricus,,Frugivore,,X,,
9951,species,Coppersmith Barbet,Psilopogon haemacephalus,Coppersmith Barbet,,,Psilopogon,haemacephalus,,Frugivore,,X,,
9961,slash,Malabar/Coppersmith Barbet,Psilopogon malabaricus/haemacephalus,,,,Psilopogon,malabaricus/haemacephalus,,Frugivore,,X,,
9962,species,Blue-eared Barbet,Psilopogon duvaucelii,Blue-eared Barbet,,,Psilopogon,duvaucelii,,Frugivore,,X,,
9973,species,Great Barbet,Psilopogon virens,Great Barbet,,,Psilopogon,virens,,Frugivore,,X,,
9996,species,Lineated Barbet,Psilopogon lineatus,Lineated Barbet,,,Psilopogon,lineatus,,Frugivore,,X,,
9999,species,Brown-headed Barbet,Psilopogon zeylanicus,Brown-headed Barbet (Large Green Barbet),,,Psilopogon,zeylanicus,,Frugivore,,X,,
10003,species,White-cheeked Barbet,Psilopogon viridis,White-cheeked Barbet (Small Green Barbet),,,Psilopogon,viridis,,Frugivore,,X,,
10004,slash,Brown-headed/White-cheeked Barbet,Psilopogon zeylanicus/viridis,,,,Psilopogon,zeylanicus/viridis,,Frugivore,,X,,
10006,species,Golden-throated Barbet,Psilopogon franklinii,Golden-throated Barbet,,,Psilopogon,franklinii,,Frugivore,,X,,
10025,species,Blue-throated Barbet,Psilopogon asiaticus,Blue-throated Barbet,,,Psilopogon,asiaticus,,Frugivore,,X,,
10032,spuh,asian barbet sp.,Megalaimidae sp.,,,,Megalaimidae,sp.,,Frugivore,,X,,
10234,species,Yellow-rumped Honeyguide,Indicator xanthonotus,Yellow-rumped Honeyguide,Near-threatened,,Indicator,xanthonotus,,Canopy-Insectivore,,X,,
10242,species,Eurasian Wryneck,Jynx torquilla,Eurasian Wryneck,,,Jynx,torquilla,,Bar-surface Feeder,,X,,
10251,species,Speckled Piculet,Picumnus innominatus,Speckled Piculet,,,Picumnus,innominatus,,Bar-surface Feeder,,X,,
10339,species,White-browed Piculet,Sasia ochracea,White-browed Piculet,,,Sasia,ochracea,,Bar-surface Feeder,,X,,
10522,species,Brown-capped Woodpecker,Yungipicus nanus,Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker),,,Yungipicus,nanus,,Bar-surface Feeder,,X,,
10529,species,Gray-capped Woodpecker,Dendrocopos canicapillus,Grey-capped Woodpecker (Grey-capped Pygmy Woodpecker),,,Dendrocopos,canicapillus,,Bar-surface Feeder,,X,,
10559,species,Brown-fronted Woodpecker,Dendrocopos auriceps,Brown-fronted Woodpecker,,,Dendrocopos,auriceps,,Bar-surface Feeder,,X,,
10560,species,Fulvous-breasted Woodpecker,Dendrocopos macei,Fulvous-breasted Woodpecker,,,Dendrocopos,macei,,Bar-surface Feeder,,X,,
10563,species,Freckle-breasted Woodpecker,Dendrocopos analis,Freckle-breasted Woodpecker (Spot-breasted Woodpecker),,,Dendrocopos,analis,,Bar-surface Feeder,,X,,
10567,species,Stripe-breasted Woodpecker,Dendrocopos atratus,Stripe-breasted Woodpecker,,,Dendrocopos,atratus,,Bar-surface Feeder,,X,,
10568,species,Yellow-crowned Woodpecker,Leiopicus mahrattensis,Yellow-crowned Woodpecker,,,Leiopicus,mahrattensis,,Bar-surface Feeder,,X,,
10572,species,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,,,Dendrocopos,hyperythrus,,Bar-surface Feeder,,X,,
10577,species,Crimson-breasted Woodpecker,Dendrocopos cathpharius,Crimson-breasted Woodpecker,,,Dendrocopos,cathpharius,,Bar-surface Feeder,,X,,
10586,species,Darjeeling Woodpecker,Dendrocopos darjellensis,Darjeeling Woodpecker,,,Dendrocopos,darjellensis,,Bar-surface Feeder,,X,,
10587,slash,Crimson-breasted/Darjeeling Woodpecker,Dendrocopos cathpharius/darjellensis,,,,Dendrocopos,cathpharius/darjellensis,,Bar-surface Feeder,,X,,
10605,species,Great Spotted Woodpecker,Dendrocopos major,Great Spotted Woodpecker,,,Dendrocopos,major,,Bar-surface Feeder,,X,,
10626,species,Sind Woodpecker,Dendrocopos assimilis,Sind Woodpecker,,,Dendrocopos,assimilis,,Bar-surface Feeder,,X,,
10627,species,Himalayan Woodpecker,Dendrocopos himalayensis,Himalayan Woodpecker,,,Dendrocopos,himalayensis,,Bar-surface Feeder,,X,,
10630,spuh,Dendrocopos sp.,Dendrocopos sp.,,,,Dendrocopos,sp.,,Bar-surface Feeder,,X,,
10899,spuh,Dryocopus sp.,Dryocopus sp.,,,,Dryocopus,sp.,,Bar-surface Feeder,,X,,
10900,species,White-bellied Woodpecker,Dryocopus javensis,White-bellied Woodpecker (Great Black Woodpecker),,,Dryocopus,javensis,,Bar-surface Feeder,,X,,
10915,species,Andaman Woodpecker,Dryocopus hodgei,Andaman Woodpecker,Near-threatened,,Dryocopus,hodgei,,Bar-surface Feeder,,X,,
10952,species,Lesser Yellownape,Picus chlorolophus,Lesser Yellownape,,,Picus,chlorolophus,,Bar-surface Feeder,,X,,
10966,species,Greater Yellownape,Picus flavinucha,Greater Yellownape,,,Picus,flavinucha,,Bar-surface Feeder,,X,,
10974,slash,Lesser/Greater Yellownape,Picus chlorolophus/flavinucha,,,,Picus,chlorolophus/flavinucha,,Bar-surface Feeder,,X,,
10980,species,Streak-throated Woodpecker,Picus xanthopygaeus,Streak-throated Woodpecker,,,Picus,xanthopygaeus,,Bar-surface Feeder,,X,,
10981,species,Scaly-bellied Woodpecker,Picus squamatus,Scaly-bellied Woodpecker,,,Picus,squamatus,,Bar-surface Feeder,,X,,
10997,species,Gray-headed Woodpecker,Picus canus,Grey-headed Woodpecker,,,Picus,canus,,Bar-surface Feeder,,X,,
11012,spuh,Picus sp.,Picus sp.,,,,Picus,sp.,,Bar-surface Feeder,,X,,
11016,species,Himalayan Flameback,Dinopium shorii,Himalayan Flameback,,,Dinopium,shorii,,Bar-surface Feeder,,X,,
11019,species,Common Flameback,Dinopium javanense,Common Flameback (Goldenbacked Three-toed Woodpecker),,,Dinopium,javanense,,Bar-surface Feeder,,X,,
11026,species,Black-rumped Flameback,Dinopium benghalense,Black-rumped Flameback (Lesser Goldenbacked Woodpecker),,,Dinopium,benghalense,,Bar-surface Feeder,,X,,
11033,spuh,flameback sp.,Dinopium sp.,,,,Dinopium,sp.,,Bar-surface Feeder,,X,,
11034,species,Pale-headed Woodpecker,Gecinulus grantia,Pale-headed Woodpecker,,,Gecinulus,grantia,,Bar-surface Feeder,,X,,
11040,species,Rufous Woodpecker,Micropternus brachyurus,Rufous Woodpecker,,,Micropternus,brachyurus,,Bar-surface Feeder,,X,,
11060,species,Greater Flameback,Chrysocolaptes guttacristatus,Greater Flameback,,,Chrysocolaptes,guttacristatus,,Bar-surface Feeder,,X,,
11066,slash,Greater/Common Flameback,Chrysocolaptes guttacristatus/Dinopium javanense,,,,Dinopium/Chrysocolaptes,javanense/guttacristatus,,Bar-surface Feeder,,X,,
11078,species,White-naped Woodpecker,Chrysocolaptes festivus,White-naped Woodpecker,,,Chrysocolaptes,festivus,,Bar-surface Feeder,,X,,
11083,species,Bay Woodpecker,Blythipicus pyrrhotis,Bay Woodpecker,,,Blythipicus,pyrrhotis,,Bar-surface Feeder,,X,,
