Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
6797,species,Eared Grebe,Podiceps nigricollis,Eared Grebe (Black-necked Grebe),,,Podiceps,nigricollis,,Aquatic-Ominvore,,,,
6817,spuh,grebe sp.,Podicipedidae sp.,grebe sp.,,,Podicipedidae,sp.,,Aquatic-Ominvore,,,,
6734,species,Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,,,Phoenicopterus,roseus,,Aquatic-Ominvore,,,,
6737,species,Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Near Threatened,,Phoeniconaias,minor,,Aquatic-Ominvore,,,,
6741,spuh,flamingo sp.,Phoenicopteridae sp.,flamingo sp.,,,Phoenicopteridae,sp.,,Aquatic-Ominvore,,,,
7018,species,Pintado Petrel,Daption capense,Pintado Petrel,,,Daption,capense,,Pelagic-Insectivore,,,,
7047,species,Barau's Petrel,Pterodroma baraui,Barau's Petrel,Endangered,,Pterodroma,baraui,,Pelagic-Insectivore,,,,
7100,species,Jouanin's Petrel,Bulweria fallax,Jouanin's Petrel,Near Threatened,,Bulweria,fallax,,Pelagic-Insectivore,,,,
7118,species,Streaked Shearwater,Calonectris leucomelas,Streaked Shearwater,Near Threatened,,Calonectris,leucomelas,,Pelagic-Piscivore,,,,
7120,species,Scopoli's Shearwater,Calonectris diomedea,Scopoli's Shearwater,,,Calonectris,diomedea,,Pelagic-Piscivore,,,,
7125,species,Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,Near Threatened,,Ardenna,carneipes,,Pelagic-Piscivore,,,,
7128,species,Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,,,Ardenna,pacifica,,Pelagic-Piscivore,,,,
7133,species,Short-tailed Shearwater,Ardenna tenuirostris,Short-tailed Shearwater,,,Ardenna,tenuirostris,,Pelagic-Piscivore,,,,
7169,species,Tropical Shearwater,Puffinus bailloni,Tropical Shearwater,,,Puffinus,bailloni,,Pelagic-Piscivore,,,,
7176,species,Persian Shearwater,Puffinus persicus,Persian Shearwater,,,Puffinus,persicus,,Pelagic-Piscivore,,,,
7181,spuh,shearwater sp.,Procellariidae sp. (shearwater sp.),shearwater sp.,,,Procellariidae,sp.,,Pelagic-Piscivore,,,,
6934,species,Wilson's Storm-Petrel,Oceanites oceanicus,Wilson's Storm-Petrel,,,Oceanites,oceanicus,,Pelagic-Insectivore,,,,
6946,species,White-faced Storm-Petrel,Pelagodroma marina,White-faced Storm-Petrel,,,Pelagodroma,marina,,Pelagic-Insectivore,,,,
6961,species,Black-bellied Storm-Petrel,Fregetta tropica,Black-bellied Storm-Petrel,,,Fregetta,tropica,,Pelagic-Insectivore,,,,
6983,species,Swinhoe's Storm-Petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,Near Threatened,,Hydrobates,monorhis,,Pelagic-Insectivore,,,,
7005,spuh,storm-petrel sp. (white-rumped),Oceanitidae/Hydrobatidae sp. (white-rumped),storm-petrel sp. (white-rumped),,,Oceanitidae/Hydrobatidae,sp.,,Pelagic-Insectivore,,,,
7006,spuh,storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,storm-petrel sp.,,,Oceanitidae/Hydrobatidae,sp.,,Pelagic-Insectivore,,,,
6829,species,White-tailed Tropicbird,Phaethon lepturus,White-tailed Tropicbird,,,Phaethon,lepturus,,Pelagic-Piscivore,,,,
6836,species,Red-billed Tropicbird,Phaethon aethereus,Red-billed Tropicbird,,,Phaethon,aethereus,,Pelagic-Piscivore,,,,
6840,species,Red-tailed Tropicbird,Phaethon rubricauda,Red-tailed Tropicbird,,,Phaethon,rubricauda,,Pelagic-Piscivore,,,,
6846,spuh,tropicbird sp.,Phaethon sp.,tropicbird sp.,,,Phaethon,sp.,,Pelagic-Piscivore,,,,
7197,species,Asian Openbill,Anastomus oscitans,Asian Openbill,,,Anastomus,oscitans,,Aquatic-Carnivore,,,,
7201,species,Black Stork,Ciconia nigra,Black Stork,,,Ciconia,nigra,,Aquatic-Carnivore,,,,
7204,species,Asian Woolly-necked Stork,Ciconia episcopus,Asian Woolly-necked Stork,Near Threatened,,Ciconia,episcopus,,Aquatic-Carnivore,,,,
7209,species,White Stork,Ciconia ciconia,White Stork,,,Ciconia,ciconia,,Aquatic-Carnivore,,,,
7214,spuh,Ciconia sp.,Ciconia sp.,Ciconia stork sp.,,,Ciconia,sp.,,Aquatic-Carnivore,,,,
7215,species,Black-necked Stork,Ephippiorhynchus asiaticus,Black-necked Stork,Near Threatened,,Ephippiorhynchus,asiaticus,,Aquatic-Carnivore,,,,
7220,species,Lesser Adjutant,Leptoptilos javanicus,Lesser Adjutant,Near Threatened,,Leptoptilos,javanicus,,Aquatic-Carnivore,,,,
7222,species,Greater Adjutant,Leptoptilos dubius,Greater Adjutant,Near Threatened,,Leptoptilos,dubius,,Aquatic-Carnivore,,,,
7223,slash,Lesser/Greater Adjutant,Leptoptilos javanicus/dubius,Lesser/Greater Adjutant,,,Leptoptilos,javanicus/dubius,,Aquatic-Carnivore,,,,
